contentid,contenttypeid,title,cat1,cat2,addr1,overview,firstimage
294369,12,가산사,A02,역사관광지,충청북도 옥천군 안내면 안내회남로 671,"가산사는 대한불교 조계종 제5교구 본사인 법주사의 말사이다. 임진왜란 때 의병과 의승군이 활동했던 사찰 가산사는 신라시대 때 창건된 것으로 전해진다. 가산사는 임진왜란 당시 풍전등화와 같은 민족을 구하기 위해 많은 의승군과 의병이 훈련했던 호국정신이 깃들어 있는 곳이다. 임진왜란 당시 활약했던 의병장들로는 곽재우, 고경명, 정문부, 조헌 등이 있고, 의승군으로는 서산, 사명, 영규, 처영, 신열, 법정 스님 등이 있다. 이 가운데 영규대사는 서산대사가 승군의 총책임을 맡기 전 자발적으로 승군을 조직한 최초의 승장이다. 가산사 일대는 영규대사와 조헌 선생이 의승군과 의병을 훈련하고 군영으로 사용했던 곳으로 큰 역사적 의의를 지니고 있다.
청주성 탈환에 큰 공헌을 한 영규대사와 조헌 선생은 금산의 연곤평전투에서 순절했는데 국가에서는 그 충절을 기리기 위하여 가산사를 호국사찰로 지정하고 진영을 봉안하여 제향을 올리게 하였다. 하지만 일제강점기에 항일운동의 중심지가 될 것을 염려한 조선총독부는 그간 전해오던 두 의병장의 영정을 강탈하고 불온사찰이라 지목하여 가산사를 탄압하기도 했다. 오늘날 옥천군에서는 국난극복에 앞장섰던 충의열사들을 위해 해마다 가산사에서 제사를 올리고 있다.",http://tong.visitkorea.or.kr/cms/resource/29/3339929_image2_1.JPG
294390,12,가섭사,A02,역사관광지,충청북도 음성군 음성읍 가섭길 494,"가섭사는 석가모니의 10대 제자 중 하나인 가섭존자의 이름을 딴 고려 후기의 사찰이다. 가섭존자는 두타행을 가장 충실히 실천하였고, 영취산에서 석가모니 부처가 연꽃을 들어 그 의미를 물었을 때 유일하게 미소로 답하여 염화미소의 가르침을 전한 인물이다. 가섭사는 창건 사실을 기록한 문헌 기록과 관련 유물이 현존하지 않으며, 다만 조선시대의 기록이 남아 있어 그 실상을 추정할 뿐이다.
가섭사는 정면 5칸, 측면 3칸의 겹처마 팔작지붕 목조와가의 극락보전과 정면 2칸, 측면 1칸 반의 삼성각, 그리고 콘크리트로 만든 요사채 1동이 있다. 극락보전 안에는 목조 아미타여래 좌상을 주존으로 하는 삼존불이 있는데, 협시불은 관세음보살 좌상과 지장보살 좌상으로 1975년에 만들어졌다. 가섭산 정상 아래에 자리한 가섭사는 조용하고 아담한 산사가 무척 아름다우며 산사 곳곳의 풍경이 무척이나 고즈넉한 곳이다. 음성을 여행하며 가볼 만한 사찰이다.",http://tong.visitkorea.or.kr/cms/resource/40/3340640_image2_1.JPG
127241,12,각연사(괴산),A02,역사관광지,충청북도 괴산군 칠성면 각연길 451,"신라 법흥왕 때에 유일대사가 현재의 충북 괴산군 칠성면 쌍곡리 근처에 터를 잡고 절을 지으려 했다. 재목 다듬는 공사를 하는데, 까마귀 떼가 날아들어 쉬지 않고 대팻밥과 나무 부스러기를 물고 어디론가 사라졌다. 유일대사는 이 모습을 기이하게 여겨 까마귀들을 따라가 보았다. 현재의 각연사 터 연못에 대팻밥이 떨어져 있어 들여다보니 연못 안에 돌부처님 한 분이 계시고, 그 부처님 몸에선 광채가 퍼져 나왔다. 부처님을 뵙고 유일대사는 크게 깨달은 바가 있어 못을 메우고 그 자리에 절을 세웠다. 연못 속의 돌부처님을 보고 깨침을 얻었다 하여 깨달을 각(覺), 연못 연(淵) 자를 써 각연사라고 이름을 지었다. 절 주변은 우뚝 솟은 산들이 마치 연꽃이 피어있는 듯 둘러싸여 있다. 각연사에는 비로자나불좌상, 통일대사탑비, 비로전, 대웅전, 통일대사부도 등 많은 문화재가 있다.",http://tong.visitkorea.or.kr/cms/resource/73/3334573_image2_1.JPG
527227,12,강천사(제천),A02,역사관광지,충청북도 제천시 송학면 옥천3길 56-10,"학이 둥지를 튼다는 송학산에 자리 잡은 제천의 강천사는 송학산 정상 바로 아래에 자리하였으며 천혜의 비경을 품은 명당으로 한번 가본 사람은 산사에서 바라보는 절경에 감탄을 금치 못한다. 송학초등학교에서 가파른 산길을 오르다 보면 오른쪽으로 소악사지가 나오며 그 위에 강천사가 자리하고 있다. 강천사에는 조선 후기 불상인 강천사 목조 보살 좌상 및 복장 유물이 봉안되어 있는데 복장물을 매납한 이후 한 번도 개봉된 바 없는 상태로, 복장물의 종류와 구성을 온전하게 살펴볼 수 있는 드문 사례라는 점에서 더욱 주목된다.",http://tong.visitkorea.or.kr/cms/resource/36/3355336_image2_1.JPG
1432440,12,개심사 목조여래좌상과 목조관음보살좌상,A02,역사관광지,충청북도 괴산군 괴산읍 역말길 22,"개심사에는 조선시대에 만들어진 나무로 된 여래좌상과 관음보살좌상이 모셔져 있다. 원래 칠성면 두천리의 도덕암에 있던 것을 암자가 폐사되면서 옮겨온 것이다. 괴산읍 서부리에 살던 김경림이 1935년경 현재의 개심사를 신축하면서 옮겨왔다고 전한다. 2구의 각부 조각과 단아한 양식수법은 조선후기의 불상으로 보존상태가 양호하다. 높이 85cm의 목조여래좌상은 한 나무로 조성한 좌상인데 나발의 머리와 상호가 정제되어 원만하며 백호를 갖추고 있다. 양 눈썹과 눈, 입과 입술 등이 정돈되고 목에는 삼도가 뚜렷하다. 통견인 법의는 조선시대 특유의 양식으로 손목에서 두껍게 표현되었다. 무릎의 의문도 두툼하여 안정감을 주고 있다. 수인은 오른손을 들고 왼손을 내려 설법인을 결하고 있다. 관음보살상은 72cm이고 역시 한 나무로 조성한 것인데 머리에는 금속제의 화사한 보관을 쓰고 있다. 상호는 원만하며 이마에 백호가 있고 양미안과 구순 등이 정제되어 목에 돌려진 삼도와 어우러진다. 통견과 법의는 두툼하면서도 유려하여 조선시대 작품으로는 우수한 것으로 평가된다. 인근에 홍범식 고택과 괴산향교, 애한정 등 가볼 만한 곳이 있다.",http://tong.visitkorea.or.kr/cms/resource/35/3338935_image2_1.JPG
1431823,12,개심사(괴산),A02,역사관광지,충청북도 괴산군 괴산읍 역말길 22,"개심사는 괴산읍 동부리에 있는 자그마한 전통사찰로 연혁에 대해서는 현재 거의 알려지지 않았다. 다만 보학스님이 1935년에 쓴 <개심사기>를 통해 연혁을 짐작할 뿐이다. 현판 기록에는 여신도인 김경림이 절에 10여 칸의 큰 법당을 시주하였다고 하는데, 이는 사찰에 구전되어 내려오는 창건에 관한 이야기, 즉 괴산읍 칠성면 두천리에 있던 도덕암이 폐사됨에 따라 현재 개심사터에 전각을 짓고 도덕암에 있던 목조여래좌상과 목조관음보살좌상 불상 2구를 옮겼다는 내용과 일치한다. 이는 1935년의 기록으로 김경림보살이 법당을 시주할 때 개심사에 도덕암 불상 2구가 안치되었으며, 개심사가 새롭게 중창된 것으로 볼 수 있다. 
1998년 대웅전에 모셔진 불상을 요사채를 헐고 그 터에 새로 지은 극락보전으로 옮겨 봉안하였다. 목조여래좌상과 목조관음보살좌상은 충청북도 유형문화재로 지정되었으며, 1998년이래 극락보전, 요사채 등의 중창과 축대 및 주차장 설치 등 불사를 진행하고 있다.",http://tong.visitkorea.or.kr/cms/resource/66/3334566_image2_1.JPG
2987654,12,건지마을,A02,체험관광지,충청북도 충주시 건지길 134 건지마을회관,"충북 충주시 동량면에 위치한 건지마을은 전국에서 소문난 해넘이 장소이다. 늦은 오후에 연한 황금빛으로 물들기 시작한 하늘과 작지만 푸근해 보이는 마을, 그 너머로 수묵화처럼 점점 옅어지는 산이 어우러진 풍경이 무척 평화롭다. 건지마을에서 가장 아름다운 석양이 마주하는 장소는 마을로 들어오는 오르막길 중간에 있다. ‘사진 찍기 좋은 풍경 포인트’라는 조형물과 ‘포토존’ 표시까지 있어 찾기 쉽다. 3월 중순과 9월 중순에는 태양의 일몰 지점이 S자 모양으로 흐르는 남한강물로 떨어지는 환상적인 일몰 풍경을 볼 수 있다.",http://tong.visitkorea.or.kr/cms/resource/49/3349149_image2_1.JPG
1955985,12,검암서원,A02,역사관광지,충청북도 청주시 상당구 가덕면 병암리 215-2,"충청북도 청주시 상당구 가덕면에 있는 조선 후기 조헌을 비롯한 9인을 추모하기 위해 창건한 서원이다. 조헌은 조선 중기의 문인이자 유학자이며 의병장이다. 어려운 가정 형편 속에서도 열심히 공부하여 성균관에 입학하여 식년문과에 병과로 급제하였다. 많은 관직을 거쳤으나 직언을 하여 왕의 노여움을 사기도 하였고 임진왜란 때는 의병과 함께 나라를 위해 싸우기도 하였으며 금산전투에서 왜군과 싸우다 전사한 인물이다. 조선 현종 2년(1661) 지방 유림의 공의로 조헌을 주향하고 별좌 한일휴, 참봉 신지익, 찰방 송국헌, 의민공 연최적, 부사 지여해, 사우당 이동형, 도사 변상회, 병암 신영식, 범촌 박문고의 학문과 덕행을 추모하기 위해 창건하여 위패를 모셨다. 선현 배향과 지방 교육의 일익을 담당해오던 중, 대원군의 서원철폐령으로 고종 5년(1868)에 철폐되었다가 광복 뒤 지방 유림이 관계 기관의 도움을 받아 1958년에 복원하였으며, 1960년에 중수하였다. 경내의 건물로는 3칸의 사우, 중앙의 신문과 양옆의 협문 등이 있다. 사우에는 조헌을 주벽으로 10인의 위패가 봉안되어 있다. 이 서원에서는 매년 음력 3월 중정에 향사를 지내고 있다.",http://tong.visitkorea.or.kr/cms/resource/30/3373830_image2_1.jpg
1955991,12,계담서원,A02,역사관광지,충청북도 괴산군 감물면 이담리,"계담서원은 순흥 안 씨 선조들을 제향 하는 곳으로 괴산군 감물면 계담마을 중심에 위치해 있다. 1824년(순조 24)에 조선 중기의 문신 안명세 선생을 모시는 계담사로 마을 뒷산에 창건했다. 그 후 1865년(고종 2)에 대원군의 서원 철폐령으로 훼철되었다가, 1991년에 순흥 안 씨 양도공파 종회 안동준 회장과 안병태 선생 등이 인근 지역의 유림과 전교에게 계담사 자리에 고려의 문신 문정공 안축을 주벽으로 조선 세종조 명신 안문숙공과 중종조 안한림공, 선조조 안사촌공, 선조조 안세마공의 5위 사당을 준공하고 앞 층계에 내삼문을 세우고 그 안에 묘우로 세덕사를 건립하여 계담서원을 복원하여 지금에 모습을 보여주고 있다.
계담서원은 강서당(학습실)과 학구당(도서관)이 갖춰져 있는 것이 특징이다. 계담서원 내 홍살문을 지나면 좌측에 도서관으로 이용하는 학구당이 있다. 2만 5천여 권의 책을 소장하고 있으며 인근 주민들이 언제나 대여 및 열람할 수 있다. 강의실로 쓰이는 강서당에서는 교양과 전통예절, 역사문화, 서예 등을 가르치고 있으며 지금까지 수많은 수강생과 졸업생을 배출해 낸 교육의 장이다.",http://tong.visitkorea.or.kr/cms/resource/18/3338918_image2_1.JPG
1682800,12,고산사 석조관음보살좌상,A02,역사관광지,충청북도 제천시 덕산면 월악로9길 113,"충청북도 제천시 덕산면 와룡산의 고산사 응진전에 모셔진 관음보살상이다. 응진전에 모셔진 관음보살상은 조선 중기에 만든 것으로 추정된다. 머리에 매우 정제된 보관(寶冠)을 쓰고 있으며, 얼굴과 몸체의 각 부분도 균형미가 보인다. 다만 양 어깨가 위축되고 턱이 크게 숙여지는 등의 모습이 드러나는데, 이는 조선 후기의 불상 양식을 지닌 탓이다.
사찰에 1920년대에 제작한 중수 기록이 있는데, 이 기록에 의하면 신라말 고려초에 도선국사가 창건한 절로 나타난다. 그러나 절에서 발견되는 기와조각, 청자조각 등은 고려와 조선의 유물들이어서 확실하지 않다.",http://tong.visitkorea.or.kr/cms/resource/27/3348727_image2_1.JPG
